ปี,เดือน,ประเภทการทำการประมง,เครื่องมือ,ขนาดเรือ,พื้นที่ทำการประมง,ชนิดสัตว์น้ำ,ปริมาณ,มูลค่า
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,หมึกสาย,17.00,"2,030.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,หอยเชลล์,1.00,121.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,กุ้งอื่น ๆ,49.00,"4,246.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปูอื่น ๆ,41.00,"5,663.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาทู,4.00,274.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาอินทรี,4.00,633.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาดาบลาว,1.00,55.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาแข้งไก่,5.00,188.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาสีกุน,25.00,897.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาสีกุนตาโต,8.00,376.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาสำลี,1.00,187.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาหลังเขียว,21.00,358.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาจะละเม็ดดำ,1.00,165.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาน้ำดอกไม้,58.00,"3,486.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาทรายแดง,459.00,"18,599.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาทรายขาว,128.00,"4,167.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาปากคม,199.00,"6,197.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาดาบเงิน,20.00,"1,605.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลากะพงแดง,57.00,"7,912.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลาตาโต,87.00,"3,726.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลากระเบน,2.00,108.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,อ่าวไทย,ปลายอดจาก,13.00,596.00
